date,top5_realized_return,portfolio_return_after_cost,benchmark_return,equity,benchmark_equity,drawdown
2025-01-02,-0.02673968368960138,-0.005947936737920276,-0.005206696568192626,9940520.632620797,9947933.034318075,-0.0059479367379203785
2025-01-03,-0.03219093962580113,-0.007038187925160226,-0.0057790748102157785,9870557.38033448,9890443.185105734,-0.012944261966552073
2025-01-06,0.0024927198651629734,-0.0001014560269674054,-0.0029908880084605943,9869555.952798717,9860861.97718504,-0.013044404720128355
2025-01-07,-0.002190448604100714,-0.001038089720820143,-0.002215859613434132,9859310.468215058,9839011.691376148,-0.014068953178494215
2025-01-08,0.04491599647093201,0.008383199294186402,-0.00154243627591441,9941963.032773362,9823835.642824223,-0.005803696722663787
2025-01-09,0.02821144623433025,0.00504228924686605,0.00020105089756784655,9992093.286066255,9825810.733797772,-0.0007906713933745202
2025-01-10,-0.011492020006422576,-0.0028984040012845153,0.00461702917829326,9963132.162904711,9871176.788656102,-0.003686783709528907
2025-01-13,0.01210995166946025,0.00182199033389205,0.003846479578615175,9981284.893400813,9909146.06859057,-0.0018715106599187514
2025-01-14,0.02875504879062978,0.005151009758125956,0.005005703457464966,10032698.589285355,9958748.315326639,0.0
2025-01-15,-0.0076969604385348726,-0.002139392087706975,0.001520194398031048,10011234.71330509,9973887.548726998,-0.0021393920877069705
2025-01-16,-0.020948881173212853,-0.004789776234642571,0.002853142446382208,9963283.139195872,10002344.470647715,-0.00691892111297121
2025-01-17,-0.0059749840524389915,-0.0017949968104877985,0.00128367073054073,9945399.07773903,10015184.187481472,-0.008701498482129089
2025-01-20,0.0052969633071176855,0.0004593926614235371,0.0015916472238285452,9949967.921090273,10031124.82758961,-0.008246103225251433
2025-01-21,0.06644202915752495,0.012688405831504991,0.0037994169539710384,10076217.152083524,10069237.253326954,0.0
2025-01-22,0.08186311798234418,0.015772623596468836,0.00569275030025907,10235145.53249962,10126558.90672421,0.0
2025-01-23,0.0704476431965539,0.013489528639310782,0.0035120094577209115,10373212.821287788,10162123.477378795,0.0
2025-01-24,0.054672585076526524,0.010334517015305305,0.002787900958811514,10480414.96569277,10190454.47116494,0.0
2025-01-27,0.00457106485788541,0.00031421297157708194,-0.001150677894446464,10483708.048022501,10178728.540470608,0.0
2025-01-28,-0.014692899680969273,-0.003538579936193855,-0.002161591236739835,10446610.609066855,10156726.290056372,-0.0035385799361937753
2025-01-29,-0.0013142897834916845,-0.000862857956698337,-0.002543512308711235,10437596.667982291,10130892.531721404,-0.004398384601038918
2025-01-30,-0.024247022562997222,-0.005449404512599444,-0.003469546485748512,10380717.981599096,10095742.929140475,-0.009823820536745242
2025-01-31,-0.002183577629126243,-0.0010367155258252487,-0.003711359206651182,10369956.130098358,10058274.000672426,-0.010850351555297233
2025-02-03,0.04868095455454702,0.009136190910909404,0.0024204037956979518,10464698.02904069,10082619.085241823,-0.0018132915276476425
2025-02-04,0.0562439962665783,0.01064879925331566,0.000684408528400697,10576134.497598514,10089519.715732379,0.0
2025-02-05,0.012820125882064382,0.001964025176412877,-0.0001964550584827835,10596906.292020926,10087537.578546561,0.0
2025-02-06,0.02808909014039136,0.005017818028078273,0.0011290588377543423,10650079.639454884,10098927.0020008,0.0
2025-02-07,0.020499541502668573,0.0034999083005337146,0.0019198082254134167,10687353.941586358,10118315.005127091,0.0
2025-02-10,0.05977308026005881,0.011354616052011763,0.004245981878427392,10808704.742205026,10161277.18727908,0.0
2025-02-11,0.028088289708870385,0.005017657941774077,0.0034536844999020835,10862939.125395041,10196371.032799993,0.0
2025-02-12,0.04008926271379103,0.0074178525427582055,0.005515742999446041,10943518.80600818,10252611.594943915,0.0
2025-02-13,0.041130170578674366,0.007626034115734873,0.0037857335039091864,11026974.453768985,10291425.25016146,0.0
2025-02-14,0.015088424500781406,0.002417684900156281,0.0027376428551220957,11053634.203400271,10319599.496966587,0.0
2025-02-17,0.026591085840164543,0.004718217168032909,0.004826961923484109,11105787.65006791,10369411.810804052,0.0
2025-02-18,0.03197293562198045,0.00579458712439609,0.002755604373347531,11170141.104191272,10397985.807338944,0.0
2025-02-19,0.0019304826663256503,-0.00021390346673486998,0.0008870409197493205,11167751.772285167,10407209.246233026,-0.00021390346673488825
2025-02-20,0.010848023027660813,0.0015696046055321624,0.0010117379812511072,11185280.726900388,10417738.615106268,0.0
2025-02-21,-0.02592257242782874,-0.005784514485565748,0.0017031567421975575,11120579.308510514,10435481.656867037,-0.005784514485565606
2025-02-24,-0.04493255342466011,-0.009586510684932022,0.000973646940591706,11013971.756146844,10445642.131655846,-0.01531557186057464
2025-02-25,-0.027749296679037316,-0.006149859335807463,0.0011101593160404782,10946237.379117984,10457238.458580328,-0.021371242583792194
2025-02-26,-0.018461770501033547,-0.004292354100206709,-0.0007081379340614413,10899252.252221892,10449833.29134228,-0.02557186374326781
2025-02-27,-0.053537513525820236,-0.011307502705164047,0.0009842658066502173,10776008.927895628,10460118.704936143,-0.03659021252997874
2025-02-28,0.008416644097376302,0.0010833288194752606,0.0014403072377751037,10787682.888926141,10475184.48961485,-0.035546522942247805
2025-03-03,-0.026607288716709875,-0.005921457743341975,0.0006262547562459263,10723804.080550792,10481744.623724025,-0.04125749345206453
2025-03-04,-0.00727080056170164,-0.002054160112340328,0.001106181483332507,10701775.669955973,10493339.335539807,-0.043226904067020344
2025-03-05,0.0005429050880112474,-0.0004914189823977506,0.0024239761453972164,10696516.614246393,10518774.939774714,-0.04369708052820942
2025-03-06,0.034283986688237865,0.006256797337647574,-0.001776541593892212,10763442.550920513,10500087.898577414,-0.03771368696767374
2025-03-07,-0.005459502488477375,-0.001691900497695475,-0.00228918272008269,10745231.877111694,10476051.278800642,-0.0393417796596186
2025-03-10,0.038298212974198886,0.007059642594839778,0.0002922449468688161,10821089.37376278,10479112.851850009,-0.03255987596822074
2025-03-11,0.008530323637285075,0.001106064727457015,-0.0007195348784934377,10833058.199031759,10471572.764657434,-0.03148982457110261
2025-03-12,0.012279202204719186,0.0018558404409438373,-0.0012276638646386612,10853162.62653662,10458717.19316833,-0.029692424220076008
2025-03-13,0.0011094381578243607,-0.0003781123684351279,0.0010140242659529022,10849058.91151089,10469322.58619294,-0.0300593095156646
2025-03-14,0.010355262635734297,0.0014710525271468594,0.0007542765885649159,10865018.447039833,10477219.351117838,-0.028632475811745106
2025-03-17,0.014435541715126177,0.0022871083430252353,-0.000268302964219454,10889867.92137718,10474408.282109156,-0.02641085304303048
2025-03-18,0.04081642953109441,0.007563285906218882,0.0006113698333670168,10972231.105947517,10480812.019355208,-0.01904731996940323
2025-03-19,0.005031012466889306,0.0004062024933778612,-0.0002247091217280894,10976688.053580672,10478456.885291342,-0.01864885454488907
2025-03-20,0.026772715346090315,0.0047545430692180635,-0.0010971430798077956,11028877.18968879,10466960.51883258,-0.013982978257796375
2025-03-21,0.04398418537090008,0.008196837074180017,-0.0022694997473118625,11119279.099123811,10443205.754579965,-0.0059007573782071665
2025-03-24,-0.023327687453466472,-0.005265537490693295,-0.004502252247799522,11060730.118157893,10396187.807997175,-0.011135224209702033
2025-03-25,-0.037143767609649256,-0.008028753521929851,-0.003813822163795492,10971926.242266618,10356538.596516054,-0.019074575761040657
2025-03-26,0.0018910546917900062,-0.0002217890616419988,-0.002245997485919725,10969492.78904094,10333277.83686545,-0.019292134290423424
2025-03-27,-0.06167519418338878,-0.012935038836677756,-0.014901660950454419,10827601.973796038,10179294.834033635,-0.031977628620812215
2025-03-28,-0.037528198322674865,-0.008105639664534973,-0.01946405693997374,10739837.33376544,9981164.459775222,-0.03982406915042058
2025-03-31,-0.12218811151228728,-0.025037622302457457,-0.029234403513060628,10470937.34301279,9689371.070427934,-0.06386459145094281
2025-04-01,-0.16344125874397533,-0.03328825174879507,-0.03706786052348716,10122378.144692719,9330206.815028999,-0.09502690260168511
2025-04-02,-0.0991052422275059,-0.020421048445501182,-0.02493795984437888,9915668.570216266,9097530.492136056,-0.11350740206553134
2025-04-03,0.0754405809187699,0.014488116183753981,-0.0060910403354574,10059327.928501157,9042117.0669554,-0.10066379431061889
2025-04-04,0.05980112474955546,0.011360224949911093,0.0036975345514631795,10173604.156613855,9075550.607228843,-0.09044713270838789
2025-04-07,0.0881339132842546,0.01702678265685092,0.015615347550817527,10346827.903425353,9217268.484175757,-0.07496037372209818
2025-04-08,0.14269016080643188,0.027938032161286378,0.014992339812033743,10635897.914158545,9355456.905429268,-0.049116586892681835
2025-04-09,0.158237267356024,0.031047453471204804,0.018036395547175184,10966115.459772868,9524195.626700142,-0.01959407836769189
2025-04-10,0.0387345093799585,0.007146901875991701,0.0070921496077559695,11044489.21092466,9591742.646978235,-0.01258721344714453
2025-04-11,-0.07089400156322805,-0.014778800312645609,-7.069155152437907e-05,10881264.910321238,9591064.591808697,-0.027179989845761976
2025-04-14,-0.052303627798601295,-0.01106072555972026,-0.004664828497761119,10760910.22540556,9546323.92037696,-0.037940084997082235
2025-04-15,-0.0014809393768324686,-0.0008961878753664938,-0.004422502695427095,10751266.428133644,9504105.277107673,-0.038802271428284074
2025-04-16,0.04582789961277407,0.008565579922554816,0.0029950170449412248,10843357.259992503,9532570.234409528,-0.030569055462824957
2025-04-17,0.05085424664256362,0.009570849328512725,0.0038372789936245164,10947137.398543125,9569149.365925279,-0.021290777958261953
2025-04-18,0.03887040583681336,0.007174081167362672,0.001431110344780926,11025673.050790545,9582843.874573607,-0.01426943856008811
2025-04-21,0.0651268130114373,0.012425362602287462,0.005055087404083439,11162671.036380885,9631285.98793926,-0.002021378906040927
2025-04-22,0.07651006015371867,0.014702012030743734,0.008174921754188552,11326784.760252992,9710020.997282878,0.0
2025-04-23,0.09463387912985088,0.018326775825970178,0.007609821429549925,11534368.205383163,9783912.52314938,0.0
2025-04-24,0.066941805182132,0.0127883610364264,0.005231829403695965,11681873.87032068,9835100.284371182,0.0
2025-04-25,0.07009497715784266,0.013418995431568532,0.0061407127974864775,11838632.882418672,9895494.810551982,0.0
2025-04-28,0.03377847930593012,0.0061556958611860245,0.008028634613492193,11911507.905855076,9974942.122705612,0.0
2025-04-29,0.01488916303849439,0.002377832607698878,0.007372118364138618,11939831.47776048,10048478.57670963,0.0
2025-04-30,0.0010682527890926608,-0.0003863494421814679,0.0035596874170791314,11935218.530529307,10084248.019459933,-0.0003863494421815217
2025-05-01,0.044187999866909376,0.008237599973381875,0.0038704864670958935,12033536.086378703,10123278.964950092,0.0
2025-05-02,0.023523906259488546,0.004104781251897709,0.0014383591136942653,12082931.119700106,10137839.875509797,0.0
2025-05-05,0.037149563451358315,0.006829912690271663,0.006371858373009482,12165456.484290224,10202436.755404793,0.0
2025-05-06,0.028071548468116568,0.005014309693623314,0.00858240649785003,12226457.850666752,10289998.214908283,0.0
2025-05-07,0.05130190434904749,0.009660380869809498,0.00925416268097417,12344570.090192866,10385223.532375978,0.0
2025-05-08,0.024348512772386567,0.004269702554477314,0.006699323656598717,12397277.732640887,10454797.50606549,0.0
2025-05-09,-0.015595155788156623,-0.003719031157631325,0.005395407816081347,12351171.870483387,10511205.402245265,-0.0037190311576312807
2025-05-12,-0.01703605824660177,-0.0040072116493203545,0.0015071730933933598,12301678.110681228,10527047.60820666,-0.007711339861972588
2025-05-13,0.011922927921333759,0.001784585584266752,0.0011266281705794722,12323631.508099841,10538907.676595097,-0.005940515823658732
2025-05-14,0.05447549871192085,0.010295099742384172,-1.7991224748259427e-06,12450504.523664115,10538888.715809437,0.0
2025-05-15,0.06044485890707887,0.011488971781415775,-0.0012464027811442404,12593548.01880088,10525753.015603881,0.0
2025-05-16,-0.0133160722573056,-0.0032632144514611206,-6.607049306472163e-05,12552452.57091076,10525057.573912263,-0.0032632144514611605
2025-05-19,0.032586440988166585,0.005917288197633317,0.004985924622040746,12626729.05035996,10577534.717618428,0.0
2025-05-20,0.03503102760620713,0.006406205521241427,0.00519577202481134,12707618.471717596,10632493.176595699,0.0
2025-05-21,0.04598312976317405,0.00859662595263481,0.004192347686271259,12816861.114467746,10677068.284763895,0.0
2025-05-22,0.03840126802191892,0.007080253604383784,0.005530912281988664,12907607.74157034,10736122.212875728,0.0
2025-05-23,0.027037928479929606,0.004807585695985921,0.004253044656928966,12969662.17191811,10781783.420089334,0.0
2025-05-26,0.013505994358230123,0.0021011988716460248,0.002667027488331713,12996914.011439374,10810538.732843952,0.0
2025-05-27,0.006014364332824785,0.0006028728665649569,0.0022010713963172934,13004749.498245949,10834333.500427594,0.0
2025-05-28,-0.007313514976229274,-0.002062702995245855,0.00262763798936109,12977924.562503496,10862802.206722725,-0.002062702995245802
2025-05-29,-0.005065010762303324,-0.0016130021524606649,0.0017655631230777313,12956991.142249707,10881981.169712203,-0.003672378003335086
2025-05-30,-0.005948000215097937,-0.0017896000430195876,0.0015599216697526346,12933803.310344134,10898956.207948677,-0.005455405958521897
2025-06-02,-0.043135231667579266,-0.009227046333515853,-0.002460802025951314,12814462.507931007,10872136.034431402,-0.014632115008490376
2025-06-03,-0.0383766030672887,-0.00827532061345774,-0.0029494099747728016,12708418.722188745,10840069.647964364,-0.02278635017899977
2025-06-04,-0.0320540166681406,-0.007010803333628121,-0.0029505536092473946,12619322.497846082,10808085.44134007,-0.029637402892831788
2025-06-05,-0.017220230958340355,-0.004044046191668071,-0.0009781095442552808,12568289.374757236,10797513.949814769,-0.03356159405820014
2025-06-06,-0.04067409217867664,-0.008734818435735328,-0.0011613350068404385,12458507.64902095,10784974.418878,-0.04200325806342331
2025-06-09,-0.013912045010361895,-0.003382409002072379,0.0044694590588769,12416367.880596513,10833177.42049421,-0.04524359486730567
2025-06-10,0.002893623950842206,-2.1275209831558882e-05,0.003953606462258611,12416103.719764508,10876007.54075067,-0.04526390751016274
2025-06-11,0.006436446326204726,0.0006872892652409451,0.003947481890531533,12424637.17456722,10918940.383559069,-0.044607727642656414
2025-06-12,0.00029935854543443606,-0.0005401282909131128,0.0023774109503812424,12417926.276524907,10944899.191993503,-0.04512376203787638
2025-06-13,0.03544000911831495,0.00648800182366299,0.004563198681212429,12498493.804853113,10994842.941552412,-0.03892852326460561
2025-06-16,0.011069396916374541,0.001613879383274908,0.0015850969627682486,12518664.866326755,11012270.83370518,-0.03737746982244883
2025-06-17,0.015305488353440321,0.0024610976706880647,0.0019337649029645449,12549474.523269396,11033565.976545338,-0.03500836175567701
2025-06-18,0.02070543329604906,0.0035410866592098123,0.0022123192907581904,12593913.300083838,11057975.747401102,-0.031591242739240966
2025-06-19,-0.029346787132647534,-0.006469357426529507,0.0013319179572719687,12512438.773546873,11072704.063870143,-0.03785622512494213
2025-06-20,0.03390529196841337,0.006181058393682674,0.003138519778183187,12589778.888253545,11107455.96457257,-0.03190915826932106
2025-06-23,-0.022376807555959166,-0.005075361511191833,0.00410956948623854,12525881.209049689,11153102.826674314,-0.03682256926677818
2025-06-24,0.005882901417019748,0.0005765802834039495,0.0018838191570554387,12533103.385187086,11174113.255439812,-0.03626722015079786
2025-06-25,0.01257680409058981,0.0019153608181179621,0.0041651495574474085,12557108.800340494,11220655.108320575,-0.034421324145138765
2025-06-26,0.011295023054210462,0.0016590046108420924,0.004140084784825417,12577941.101739103,11267109.571810307,-0.03281942466976495
2025-06-27,0.008368835106549977,0.0010737670213099954,0.003994746991541303,12591446.880090129,11312118.823875662,-0.031780898064323826
2025-06-30,-0.005774382567523939,-0.001754876513504788,0.004545294771294311,12569350.445689214,11363535.738418084,-0.03348000302623744
2025-07-01,0.019285812164641446,0.0032571624329282896,0.006950824113505991,12610290.861767223,11442521.676643366,-0.03033189040142059
2025-07-02,0.031104025035392092,0.005620805007078419,0.005976904699720625,12681170.847783761,11510912.53822915,-0.024881575035784587
2025-07-03,0.040518955784995335,0.0075037911569990675,0.006523946739157642,12776327.705451755,11586009.11854766,-0.01756449002151117
2025-07-04,0.061337146689138144,0.01166742933782763,0.006129920346328591,12925394.606152043,11657030.431576192,-0.006101993129864591
2025-07-07,0.0233214028000726,0.00406428056001452,0.006550258810802402,12977927.036180343,11733386.997868417,-0.002062512781905057
2025-07-08,0.0236762787238197,0.004135255744763941,0.004113532769057262,13031594.083511837,11781652.66977618,0.0
2025-07-09,0.0235588184405112,0.00411176368810224,0.00454401760566571,13085176.918862509,11835188.706931481,0.0
2025-07-10,0.05950815157361515,0.01130163031472303,0.0053836152162076885,13233060.751002239,11898904.808940807,0.0
2025-07-11,0.05407005193145786,0.010214010386291574,0.006055370272222195,13368223.370955404,11970957.083392868,0.0
2025-07-14,0.021318013838647665,0.0036636027677295338,0.0033886907852458863,13417199.231096862,12011522.955351934,0.0
2025-07-15,0.035113988965066636,0.006422797793013328,0.006568231745240522,13503375.18870677,12090417.421735961,0.0
2025-07-16,0.028075539454534715,0.005015107890906943,0.006930750599126641,13571096.07216953,12174213.08952535,0.0
2025-07-17,0.0013407176412479683,-0.0003318564717504064,0.006485616217790977,13566592.416109234,12253170.363377618,-0.00033185647175038024
2025-07-18,0.0794920155830233,0.015298403116604659,0.00791741229791075,13774139.615809543,12350183.765101017,0.0
2025-07-21,0.08444779881320112,0.016289559762640224,0.01352277598773897,13998514.286260223,12517192.53356389,0.0
2025-07-22,0.05509411865274656,0.010418823730549313,0.0021014024307314584,14144362.339098345,12543496.192379855,0.0
2025-07-23,0.04719191574140733,0.008838383148281467,0.0024542843721852632,14269375.632839419,12574281.499057379,0.0
2025-07-24,0.09854113833521483,0.019108227667042968,0.002442432804994835,14542038.111098269,12604993.336689916,0.0
2025-07-25,0.03649954812766878,0.006699909625533756,-0.0007211337803159175,14639468.452213695,12595903.45019417,0.0
2025-07-28,0.027374262528411707,0.004874852505682342,-0.0017733621896823236,14710833.701679826,12573566.351270707,0.0
2025-07-29,0.08949151079179987,0.017298302158359976,0.0062083793572803095,14965306.148052868,12651627.82105333,0.0
2025-07-30,0.058583267811660324,0.011116653562332065,0.006683693422534033,15131670.271955011,12736187.422705254,0.0
2025-07-31,0.03189827652479471,0.0057796553049589425,0.008457792427155763,15219126.110315206,12843907.452239847,0.0
2025-08-01,0.06887212339631418,0.013174424679262838,0.01039883292259018,15419629.340939756,12977469.0999089,0.0
2025-08-04,0.040925609814404365,0.007585121962880874,0.008955615400897477,15536589.1101132,13093690.322044713,0.0
2025-08-05,0.08970089128458021,0.017340178256916042,0.0116438924127504,15805996.334787022,13246151.843440473,0.0
2025-08-06,0.022306408535956047,0.0038612817071912095,0.010435446110100754,15867027.739298467,13384381.34716891,0.0
2025-08-07,0.04848635961983827,0.009097271923967655,0.009540948487811158,16011374.405268002,13512081.040143467,0.0
2025-08-08,0.1350344843236991,0.026406896864739824,0.006746291135807463,16434185.117850648,13603237.472690899,0.0
2025-08-11,0.12624794741502088,0.024649589483004178,0.006571421306501678,16839281.03449336,13692630.07725634,0.0
2025-08-12,0.041329279699859243,0.0076658559399718496,0.005792376920811067,16968368.537036486,13771942.951701043,0.0
2025-08-13,0.03252068609587122,0.005904137219174245,0.0018442883684828774,17068552.113264665,13797342.385898275,0.0
2025-08-14,0.007377524003456815,0.0008755048006913629,0.00019776905597488652,17083495.71258068,13800071.073276896,0.0
2025-08-15,0.052780104993412166,0.009956020998682435,-0.0024132976052879205,17253579.354626033,13766767.394802954,0.0
2025-08-18,-0.021519592012075518,-0.004903918402415104,-0.008909969945565947,17168969.209321354,13644105.911067663,-0.004903918402415108
